variant,reference,metric,point_difference,bootstrap_median_difference,ci_2.5,ci_97.5,groups,repetitions,interpretation
altitude,raw,brier,0.0017162695664931,0.0017150244428157,-0.0006208491160699,0.0050907811646558,31,1000,negative favors candidate
altitude_gimbal,raw,brier,0.0039946788842217,0.0039927899206372,0.0008952828408131,0.0083151526796042,31,1000,negative favors candidate
class_logistic,raw,brier,0.0016937482285282,0.0016927012933418,-0.0006562682355558,0.0050293070068324,31,1000,negative favors candidate
full_metadata,raw,brier,0.0057281273181276,0.0056522138798685,0.0015445279999774,0.012057246969847,31,1000,negative favors candidate
global_logistic,raw,brier,-0.0004871503498814,-0.0004933789067621,-0.0006838408340534,-0.0003076677628365,31,1000,negative favors candidate
altitude,raw,ece,0.0001128809318935,-0.0003569259906789,-0.0045663923673668,0.0030426959828959,31,1000,negative favors candidate
altitude_gimbal,raw,ece,-0.0081438310989348,-0.0080558676861708,-0.0114758465275151,-0.0040411030042526,31,1000,negative favors candidate
class_logistic,raw,ece,0.0001286341612863,-0.0002872374849661,-0.0045088515688738,0.003116939194498,31,1000,negative favors candidate
full_metadata,raw,ece,-0.0110063553287737,-0.009767262731601,-0.0138423016900032,-0.0018370683414244,31,1000,negative favors candidate
global_logistic,raw,ece,-0.0013944298129304,-0.0016176454796945,-0.0028340387829197,-0.0006826018404528,31,1000,negative favors candidate
altitude,raw,nll,0.0100289895006653,0.0099961611544708,-0.0002336239313643,0.0238435227793168,31,1000,negative favors candidate
altitude_gimbal,raw,nll,0.012632340721409,0.0129176312421397,0.0023583961544096,0.0267287318660194,31,1000,negative favors candidate
class_logistic,raw,nll,0.0098058191444076,0.0098151833592277,-0.0003270338287751,0.023461695482308,31,1000,negative favors candidate
full_metadata,raw,nll,0.0167630138177974,0.016750792229026,0.0032828750080785,0.036549159866026,31,1000,negative favors candidate
global_logistic,raw,nll,-0.0011784885641287,-0.0011784346033936,-0.0017128033821905,-0.0006757986158018,31,1000,negative favors candidate
