role,source_group,images,status
detector_train,source.drone:trinity,1554,already_used
detector_train,source.video:DJI_0001.mov,15,already_used
detector_train,source.video:DJI_0003_d3.mov,1,already_used
detector_train,source.video:DJI_0010_d3.mov,113,already_used
detector_train,source.video:DJI_0011_d3.mov,338,already_used
detector_train,source.video:DJI_0039.MP4,40,already_used
detector_train,source.video:DJI_0057.MP4,19,already_used
detector_train,source.video:DJI_0064.MP4,16,already_used
detector_train,source.video:DJI_0069.MP4,208,already_used
detector_train,source.video:NorthSea_Fri_DJI_0113.MP4,357,already_used
detector_train,source.video:NorthSea_Fri_DJI_0114.MP4,361,already_used
detector_train,source.video:NorthSea_Fri_DJI_0116.MP4,361,already_used
detector_train,source.video:NorthSea_Fri_DJI_0117.MP4,133,already_used
detector_train,source.video:NorthSea_Sat_DJI_0122.MP4,285,already_used
detector_train,source.video:NorthSea_Sat_DJI_0126.MP4,297,already_used
detector_train,source.video:NorthSea_Sat_Z30_DJI003.MP4,1087,already_used
detector_train,source.video:NorthSea_Sat_Z30_DJI005.MP4,489,already_used
detector_train,source.video:NorthSea_Thu_DJI_0106.MP4,67,already_used
detector_train,source.video:NorthSea_Thu_DJI_0108.MP4,247,already_used
detector_train,source.video:NorthSea_Thu_DJI_0109.MP4,263,already_used
detector_dev,source.video:DJI_0003.mov,51,already_used
detector_dev,source.video:DJI_0006_d3.mov,80,already_used
detector_dev,source.video:DJI_0041.MP4,40,already_used
detector_dev,source.video:DJI_0059.MP4,40,already_used
detector_dev,source.video:DJI_0062.MP4,67,already_used
detector_dev,source.video:NorthSea_Fri_DJI_0115.MP4,290,already_used
detector_dev,source.video:NorthSea_Thu_DJI_0107.MP4,325,already_used
calibration_fit,source.video:DJI_0001_d3.mov,80,already_used
calibration_fit,source.video:DJI_0038.MP4,34,already_used
calibration_fit,source.video:DJI_0063.MP4,123,already_used
calibration_fit,source.video:DJI_0065.MP4,40,already_used
calibration_fit,source.video:NorthSea_Fri_DJI_0110.MP4,255,already_used
calibration_fit,source.video:NorthSea_Sat_DJI_0129.MP4,361,already_used
policy_tune,source.video:DJI_0032.MP4,76,already_used
policy_tune,source.video:DJI_0050.MP4,67,already_used
policy_tune,source.video:DJI_0055.MP4,40,already_used
policy_tune,source.video:NorthSea_Fri_DJI_0112.MP4,353,already_used
policy_tune,source.video:NorthSea_Sat_DJI_0131.MP4,357,already_used
