variant,target_fp_per_image,threshold_selected_on_policy,policy_recall,policy_fp_per_image,evaluation_recall,evaluation_fp_per_image,evaluation_true_positives,evaluation_false_positives
class_logistic,0.1,0.7493441901130184,0.1994996873045653,0.0996640537513997,0.212668743509865,0.0581771170006464,2048,90
class_logistic,0.25,0.6544880418671466,0.2707942464040025,0.2497200447928331,0.3068535825545171,0.1745313510019392,2955,270
class_logistic,0.5,0.5461386452851359,0.3556389410047946,0.4994400895856662,0.4398753894080996,0.4550743374272786,4236,704
class_logistic,1.0,0.4099827960831759,0.4627892432770482,1.0,0.569055036344756,1.0258564964447316,5480,1587
global_logistic,0.1,0.7212421133598206,0.2380654575776527,0.0996640537513997,0.2310488058151609,0.0711053652230122,2225,110
global_logistic,0.25,0.6397936030446776,0.3108192620387742,0.2497200447928331,0.3158878504672897,0.1861667744020685,3042,288
global_logistic,0.5,0.538856722456463,0.3927454659161976,0.4994400895856662,0.4419522326064382,0.4479638009049774,4256,693
global_logistic,1.0,0.4119000581518251,0.5061496768813842,1.0,0.5759086188992731,0.9838396897220426,5546,1522
raw,0.1,0.7017635703086853,0.2380654575776527,0.0996640537513997,0.2310488058151609,0.0711053652230122,2225,110
raw,0.25,0.6211246848106384,0.3108192620387742,0.2497200447928331,0.3158878504672897,0.1861667744020685,3042,288
raw,0.5,0.5229954719543457,0.3927454659161976,0.4994400895856662,0.4419522326064382,0.4479638009049774,4256,693
raw,1.0,0.4013839364051819,0.5061496768813842,1.0,0.5759086188992731,0.9838396897220426,5546,1522
