condition,association,other_category,count
repeat4_384,overlaps_other_class,swimmer,4
repeat4_384,overlaps_other_class,buoy,2
repeat4_384,near_other_class,swimmer,17
repeat4_384,near_other_class,buoy,5
repeat4_768,overlaps_other_class,buoy,33
repeat4_768,overlaps_other_class,swimmer,2
repeat4_768,near_other_class,buoy,33
repeat4_768,near_other_class,swimmer,10
repeat4_768,near_other_class,jetski,2
crop4_384,overlaps_other_class,swimmer,692
crop4_384,overlaps_other_class,buoy,238
crop4_384,overlaps_other_class,boat,36
crop4_384,overlaps_other_class,jetski,4
crop4_384,near_other_class,swimmer,2627
crop4_384,near_other_class,boat,678
crop4_384,near_other_class,buoy,386
crop4_384,near_other_class,jetski,105
crop4_768,overlaps_other_class,swimmer,305
crop4_768,overlaps_other_class,buoy,103
crop4_768,overlaps_other_class,jetski,18
crop4_768,overlaps_other_class,boat,11
crop4_768,near_other_class,swimmer,731
crop4_768,near_other_class,boat,347
crop4_768,near_other_class,buoy,163
crop4_768,near_other_class,jetski,54
