condition,source_group,detector_dev_images,target_false_positives,target_false_positives_per_image,share
repeat4_384,NorthSea_Fri_DJI_0115.MP4,290,59992,206.86896551724138,0.9615335299397358
repeat4_384,NorthSea_Thu_DJI_0107.MP4,325,2239,6.889230769230769,0.03588601102705475
repeat4_384,DJI_0059.MP4,40,102,2.55,0.0016348249775612258
repeat4_384,DJI_0062.MP4,67,28,0.417910447761194,0.00044877548403641495
repeat4_384,DJI_0006_d3.mov,80,23,0.2875,0.000368637004744198
repeat4_384,DJI_0003.mov,51,7,0.13725490196078433,0.00011219387100910374
repeat4_384,DJI_0041.MP4,40,1,0.025,1.602769585844339e-05
repeat4_768,NorthSea_Fri_DJI_0115.MP4,290,1573,5.424137931034482,0.9855889724310777
repeat4_768,NorthSea_Thu_DJI_0107.MP4,325,10,0.03076923076923077,0.006265664160401002
repeat4_768,DJI_0041.MP4,40,9,0.225,0.005639097744360902
repeat4_768,DJI_0003.mov,51,2,0.0392156862745098,0.0012531328320802004
repeat4_768,DJI_0062.MP4,67,1,0.014925373134328358,0.0006265664160401002
repeat4_768,DJI_0006_d3.mov,80,1,0.0125,0.0006265664160401002
crop4_384,NorthSea_Fri_DJI_0115.MP4,290,6304,21.73793103448276,0.3527107928159794
crop4_384,NorthSea_Thu_DJI_0107.MP4,325,5258,16.178461538461537,0.29418676215520617
crop4_384,DJI_0062.MP4,67,1808,26.98507462686567,0.10115817154366923
crop4_384,DJI_0006_d3.mov,80,1487,18.5875,0.08319812006937839
crop4_384,DJI_0003.mov,51,1182,23.176470588235293,0.06613327365299614
crop4_384,DJI_0059.MP4,40,1063,26.575,0.0594751860348011
crop4_384,DJI_0041.MP4,40,771,19.275,0.043137693727969564
crop4_768,NorthSea_Fri_DJI_0115.MP4,290,1551,5.348275862068966,0.3642555190230155
crop4_768,NorthSea_Thu_DJI_0107.MP4,325,1054,3.243076923076923,0.24753405354626584
crop4_768,DJI_0062.MP4,67,689,10.283582089552239,0.16181305777360264
crop4_768,DJI_0041.MP4,40,318,7.95,0.07468294974166276
crop4_768,DJI_0059.MP4,40,295,7.375,0.0692813527477689
crop4_768,DJI_0003.mov,51,198,3.8823529411764706,0.04650070455612964
crop4_768,DJI_0006_d3.mov,80,153,1.9125,0.03593236261155472
