condition,class_index,category_id,category,ground_truth,predictions,true_positives_at_max_f1,precision,recall,ap50,ap50_95
repeat4_full,0,1,swimmer,3115,28835,1893,0.6307784147746462,0.6077046548956662,0.562731049088079,0.23432311433036684
repeat4_full,1,2,boat,1533,4647,1183,0.8620684922540532,0.771689497716895,0.8267092270475439,0.5585434834102049
repeat4_full,2,3,jetski,306,2555,208,0.6766562218991115,0.6797385620915033,0.6826709593434996,0.3705157427712021
repeat4_full,3,4,life_saving_appliances,64,26,0,0.0,0.0,0.0,0.0
repeat4_full,4,5,buoy,419,4352,321,0.732069325598318,0.766109785202864,0.762381077480153,0.5039541091271232
crop4_full,0,1,swimmer,3115,24903,1783,0.6446879789538833,0.5723916532905297,0.566338088795799,0.24159365997001783
crop4_full,1,2,boat,1533,5504,1247,0.8564731681314287,0.813551085336841,0.8516887345258035,0.5851240475812003
crop4_full,2,3,jetski,306,1788,209,0.8674373526702855,0.6843016015560041,0.7007060496038313,0.3649429939626993
crop4_full,3,4,life_saving_appliances,64,35,0,1.0,0.0,0.0,0.0
crop4_full,4,5,buoy,419,3410,358,0.7898752823224495,0.8544152744630071,0.8444490648598797,0.5239213532913379
repeat4_384,0,1,swimmer,3115,74849,716,0.1346004137292529,0.22985553772070627,0.07558847937812944,0.0239879907329291
repeat4_384,1,2,boat,1533,102852,51,0.01135699509215927,0.033268101761252444,0.006261678276124688,0.003304887562633304
repeat4_384,2,3,jetski,306,1298,47,0.44607689374492704,0.15264591388858484,0.12926679548773234,0.0484021451519515
repeat4_384,3,4,life_saving_appliances,64,11456,0,0.0,0.0,0.0,0.0
repeat4_384,4,5,buoy,419,59431,51,0.00617809565714977,0.12171837708830549,0.005120970970832581,0.0030237142358405565
repeat4_768,0,1,swimmer,3115,73433,1181,0.42630327212723285,0.37913322632423757,0.3343990122660816,0.15832556594329547
repeat4_768,1,2,boat,1533,20226,935,0.4921927022032012,0.6099151989562949,0.481231093511637,0.2646302431890476
repeat4_768,2,3,jetski,306,2439,161,0.6996078177590829,0.5251654713162309,0.6101581965503814,0.3062279814580654
repeat4_768,3,4,life_saving_appliances,64,1370,0,0.0,0.0,0.0,0.0
repeat4_768,4,5,buoy,419,6637,253,0.7512583593949226,0.60381861575179,0.5784264026028649,0.3866993765613212
crop4_384,0,1,swimmer,3115,203756,1126,0.2941806865401489,0.3614767255216693,0.23589315865835053,0.09375998333947516
crop4_384,1,2,boat,1533,37071,873,0.17093904315648947,0.5694716242661448,0.2517600888309185,0.10227628150217552
crop4_384,2,3,jetski,306,1598,41,0.27982189137437097,0.13398692810457516,0.10217462533440493,0.040605096449941154
crop4_384,3,4,life_saving_appliances,64,10683,0,0.0,0.0,0.00026045019503864085,0.00010690966429437786
crop4_384,4,5,buoy,419,366,46,0.9195915331937787,0.10918810043243299,0.22096789436882924,0.11476614225831641
crop4_768,0,1,swimmer,3115,120478,1157,0.46296522612694624,0.37142857142857144,0.3497192853291012,0.17253055711710458
crop4_768,1,2,boat,1533,14032,1110,0.4906648262109375,0.7240704500978473,0.5527085837006495,0.33836700083176635
crop4_768,2,3,jetski,306,2157,125,0.7555267461935649,0.4084967320261438,0.49653980871173337,0.27319367574408615
crop4_768,3,4,life_saving_appliances,64,4254,0,0.0,0.0,0.0008393402843399099,0.00036603084477546794
crop4_768,4,5,buoy,419,1885,280,0.8696916941284135,0.669005247159892,0.6514418258933028,0.3953306425647426
