category,metric,repeat4_1280,crop4_1280,delta_crop4_minus_repeat4
swimmer,precision,0.7891021839970545,0.7936689170383927,0.004566733041338256
swimmer,recall,0.7235955056179775,0.7223113964686998,-0.001284109149277679
swimmer,map50,0.7063358778208951,0.709768489186205,0.0034326113653099233
swimmer,map50_95,0.2701822191064072,0.2794262966154876,0.009244077509080406
boat,precision,0.9414072014669312,0.9041220282070989,-0.03728517325983238
boat,recall,0.8336594911937377,0.8649706457925636,0.03131115459882583
boat,map50,0.8957203400176127,0.8882700326247475,-0.00745030739286523
boat,map50_95,0.5855049230238665,0.5988367706144602,0.013331847590593693
jetski,precision,0.7440579436699994,0.9293879537195685,0.18533001004956906
jetski,recall,0.7125333064758647,0.7312186165205385,0.018685310044673886
jetski,map50,0.7447266861764271,0.8020650322812839,0.057338346104856774
jetski,map50_95,0.40126448464976167,0.40454368696542603,0.0032792023156643646
life_saving_appliances,precision,1.0,1.0,0.0
life_saving_appliances,recall,0.0,0.0,0.0
life_saving_appliances,map50,0.0,0.0,0.0
life_saving_appliances,map50_95,0.0,0.0,0.0
buoy,precision,0.8081797462770649,0.8300436905637155,0.021863944286650616
buoy,recall,0.7943775957399463,0.8973747016706444,0.10299710593069811
buoy,map50,0.8357293180619856,0.8859209598490372,0.0501916417870516
buoy,map50_95,0.5275597961450819,0.5324541304653626,0.0048943343202807466
