model,context_factor,image_id,annotation_id,crop_left,crop_top,crop_right,crop_bottom,crop_width,crop_height,target_width_at_1280,target_height_at_1280,target_predictions_in_crop,target_prediction_max_score,same_class_matched_iou_0_50,best_same_iou,best_same_score,best_any_iou,best_any_score,best_any_category
repeat4_1280,8.0,5173,25352,1724,795,2109,1180,385,385,83.11688311688312,103.06493506493507,0,,False,0.0,,0.01730151316046208,0.11456359922885895,swimmer
repeat4_1280,8.0,5174,25363,1728,1030,2112,1414,384,384,86.66666666666667,106.66666666666667,0,,False,0.0,,0.030446560586940973,0.00142438686452806,swimmer
repeat4_1280,8.0,5175,25374,1730,1079,2115,1463,385,384,89.76623376623377,113.03896103896105,0,,False,0.0,,0.022642937377532063,0.0010523259406909347,swimmer
repeat4_1280,8.0,5176,25385,1735,1078,2119,1463,384,385,93.0909090909091,116.36363636363637,0,,False,0.0,,0.05318589238960064,0.003953095059841871,swimmer
repeat4_1280,8.0,5177,25396,1738,1078,2122,1463,384,385,93.0909090909091,116.36363636363637,0,,False,0.0,,0.04400813252615495,0.0018154296558350325,swimmer
repeat4_1280,8.0,5178,25408,1742,1078,2126,1463,384,385,93.0909090909091,116.36363636363637,0,,False,0.0,,0.023188499286740546,0.0024202505592256784,boat
repeat4_1280,8.0,5179,25420,1747,1076,2131,1461,384,385,93.0909090909091,116.36363636363637,0,,False,0.0,,0.03968424255598247,0.010748883709311485,swimmer
repeat4_1280,8.0,5180,25432,1751,1076,2135,1461,384,385,93.0909090909091,116.36363636363637,0,,False,0.0,,0.05324235834441185,0.009786306880414486,swimmer
repeat4_1280,8.0,5181,25444,1755,1146,2139,1531,384,385,93.0909090909091,116.36363636363637,0,,False,0.0,,0.04159843319473903,0.007862376980483532,swimmer
repeat4_1280,8.0,5182,25456,1757,1259,2142,1644,385,385,96.41558441558442,116.36363636363637,0,,False,0.0,,0.022649551641945122,0.002679667668417096,swimmer
repeat4_1280,8.0,5183,25468,1759,1370,2143,1755,384,385,99.74025974025975,123.01298701298703,0,,False,0.0,,0.04213023113173897,0.00467519648373127,swimmer
repeat4_1280,8.0,5184,25480,1762,1483,2146,1869,384,386,99.48186528497409,122.69430051813471,0,,False,0.0,,0.06588655670156573,0.0020404604729264975,swimmer
repeat4_1280,8.0,5185,25491,1764,1573,2149,1964,385,391,101.48337595907928,127.67263427109974,0,,False,0.0,,0.0787361272441428,0.0024088257923722267,swimmer
repeat4_1280,8.0,5186,25501,1766,1665,2150,2055,384,390,105.02564102564102,128.0,0,,False,0.0,,0.06636363003878257,0.023603783920407295,swimmer
repeat4_1280,8.0,5187,25511,1770,1731,2154,2123,384,392,104.48979591836735,130.6122448979592,0,,False,0.0,,0.029338420012651977,0.005490550305694342,boat
repeat4_1280,8.0,5188,25521,1773,1731,2158,2124,385,393,107.48091603053435,130.27989821882952,0,,False,0.0,,0.07680402377150808,0.0038327951915562153,swimmer
repeat4_1280,8.0,5189,25531,1777,1730,2162,2123,385,393,107.48091603053435,133.53689567430024,0,,False,0.0,,0.15734737305278998,0.0011294659925624728,swimmer
repeat4_1280,8.0,5190,25541,1780,1729,2165,2120,385,391,108.0306905370844,130.9462915601023,0,,False,0.0,,0.34176001144964674,0.0011174961691722274,swimmer
repeat4_1280,8.0,5191,25551,1784,1729,2169,2122,385,393,94.45292620865139,120.5089058524173,0,,False,0.0,,0.023091724739673317,0.0017875961493700743,boat
repeat4_1280,8.0,5192,25561,1786,1728,2171,2122,385,394,94.21319796954315,120.20304568527919,0,,False,0.0,,0.024350677136185106,0.016842545941472054,boat
repeat4_1280,8.0,5193,25571,1789,1726,2174,2121,385,395,93.9746835443038,119.89873417721519,0,,False,0.0,,0.05206501572022185,0.008764584548771381,swimmer
repeat4_1280,8.0,5194,25581,1791,1727,2176,2120,385,393,94.45292620865139,120.5089058524173,0,,False,0.0,,0.05000441508337009,0.002252353122457862,swimmer
repeat4_1280,8.0,5195,25591,1794,1727,2179,2118,385,391,94.93606138107417,121.12531969309462,0,,False,0.0,,0.02563742305513664,0.16616526246070862,boat
repeat4_1280,8.0,5196,25601,1797,1722,2182,2115,385,393,94.45292620865139,120.5089058524173,0,,False,0.0,,0.045118672603448075,0.0018622874049469829,swimmer
repeat4_1280,8.0,5197,25611,1800,1716,2185,2112,385,396,93.73737373737373,119.5959595959596,0,,False,0.0,,0.4646833274419743,0.001025775563903153,swimmer
repeat4_1280,8.0,5198,25621,1805,1716,2190,2110,385,394,94.21319796954315,120.20304568527919,0,,False,0.0,,0.024831052104291026,0.03153231739997864,boat
repeat4_1280,8.0,5199,25631,1809,1718,2194,2109,385,391,94.93606138107417,121.12531969309462,0,,False,0.0,,0.05140915364817274,0.0016942739021033049,swimmer
repeat4_1280,8.0,5200,25641,1812,1715,2197,2107,385,392,94.6938775510204,120.81632653061224,0,,False,0.0,,0.12451320274811034,0.0014838940696790814,swimmer
repeat4_1280,8.0,5201,25651,1814,1711,2199,2106,385,395,93.9746835443038,119.89873417721519,0,,False,0.0,,0.058712822694877514,0.003958406392484903,swimmer
repeat4_1280,8.0,5202,25661,1816,1710,2201,2103,385,393,94.45292620865139,120.5089058524173,0,,False,0.0,,0.046374257573341085,0.0022427751682698727,swimmer
repeat4_1280,8.0,5203,25671,1818,1707,2203,2099,385,392,94.6938775510204,120.81632653061224,0,,False,0.0,,0.02502456419289315,0.02667045406997204,swimmer
repeat4_1280,8.0,5204,25681,1822,1702,2207,2095,385,393,94.45292620865139,120.5089058524173,0,,False,0.0,,0.05070497154942108,0.0050404928624629974,swimmer
repeat4_1280,8.0,5205,25691,1827,1699,2212,2093,385,394,94.21319796954315,120.20304568527919,0,,False,0.0,,0.05178912078648855,0.0025868581142276525,swimmer
repeat4_1280,8.0,5206,25701,1833,1639,2298,2071,465,432,79.82795698924731,101.8494623655914,0,,False,0.0,,0.039674472684896274,0.0016922404756769538,boat
repeat4_1280,8.0,5207,25713,1836,1472,2291,1884,455,412,78.76923076923077,98.46153846153847,0,,False,0.0,,0.4045988113187733,0.0013709096238017082,swimmer
repeat4_1280,8.0,5208,25725,1836,1301,2268,1696,432,395,77.03703703703704,100.74074074074073,0,,False,0.0,,0.02258734377325229,0.0031476980075240135,swimmer
repeat4_1280,8.0,5209,25737,1837,1228,2257,1613,420,385,79.23809523809524,100.57142857142857,0,,False,0.0,,0.017926304301379266,0.0018285982077941298,boat
repeat4_1280,8.0,5210,25749,1838,1222,2241,1606,403,384,79.4044665012407,101.6377171215881,0,,False,0.0,,0.016021743736737263,0.013637489639222622,boat
repeat4_1280,8.0,5211,25761,1827,1220,2213,1604,386,384,82.90155440414507,106.11398963730569,0,,False,0.0,,0.03705898484647297,0.0019520694622769952,swimmer
repeat4_1280,8.0,5212,25773,1830,1219,2215,1603,385,384,83.11688311688312,106.3896103896104,0,,False,0.0,,0.5426089683893952,0.0012357113882899284,swimmer
repeat4_1280,8.0,5213,25785,1834,1217,2219,1601,385,384,83.11688311688312,106.3896103896104,0,,False,0.0,,0.02108445981831088,0.0021530413068830967,boat
repeat4_1280,8.0,5214,25797,1812,1217,2196,1602,384,385,79.79220779220779,103.06493506493507,0,,False,0.0,,0.031363269365699005,0.0019138621864840388,swimmer
repeat4_1280,8.0,5215,25809,1620,1223,2004,1607,384,384,80.0,100.0,0,,False,0.0,,0.016256479308691354,0.008053697645664215,swimmer
repeat4_1280,8.0,5216,25821,1465,1234,1850,1619,385,385,83.11688311688312,103.06493506493507,0,,False,0.0,,0.0232875192294732,0.0014745297376066446,boat
repeat4_1280,8.0,5217,25833,1469,1228,1854,1613,385,385,83.11688311688312,103.06493506493507,0,,False,0.0,,0.023398094255961926,0.004824004136025906,swimmer
repeat4_1280,8.0,5218,25845,1474,1222,1859,1607,385,385,83.11688311688312,103.06493506493507,0,,False,0.0,,0.0292900190237765,0.0029180452693253756,swimmer
repeat4_1280,8.0,5219,25857,1499,1218,1884,1603,385,385,83.11688311688312,103.06493506493507,0,,False,0.0,,0.026417243445320773,0.02650366723537445,swimmer
