category,metric,natural_640,repeat4_640,delta_repeat4_minus_natural
swimmer,precision,0.7015169724632506,0.6797225704025056,-0.02179440206074501
swimmer,recall,0.5085344706688433,0.4919087291697948,-0.016625741499048496
swimmer,map50,0.5009936192282052,0.48774810980185324,-0.013245509426351942
swimmer,map50_95,0.16229778657617527,0.15640935275124326,-0.00588843382493201
boat,precision,0.9277767385022141,0.9142280853312001,-0.013548653171013947
boat,recall,0.7876842299369705,0.764821444115934,-0.022862785821036513
boat,map50,0.8515775099113161,0.8318115705497428,-0.019765939361573337
boat,map50_95,0.5335032932967707,0.5220681545607038,-0.011435138736066941
jetski,precision,0.6778862110250176,0.5365780353175179,-0.14130817570749965
jetski,recall,0.6372549019607843,0.7026143790849673,0.065359477124183
jetski,map50,0.6327838951331818,0.6262373434797724,-0.006546551653409338
jetski,map50_95,0.2764994740697856,0.2684058224476191,-0.008093651622166464
life_saving_appliances,precision,1.0,0.0,-1.0
life_saving_appliances,recall,0.0,0.0,0.0
life_saving_appliances,map50,0.0,0.0,0.0
life_saving_appliances,map50_95,0.0,0.0,0.0
buoy,precision,0.8729884447248987,0.9186354797580024,0.045647035033103744
buoy,recall,0.6725674475847148,0.6443914081145584,-0.028176039470156344
buoy,map50,0.7180437085616175,0.6941711776879134,-0.023872530873704112
buoy,map50_95,0.42675230820799703,0.4227227233384001,-0.004029584869596925
