category,metric,natural_640,repeat4_640,natural_1280,repeat4_1280,exposure_effect_640,exposure_effect_1280,resolution_effect_natural,resolution_effect_repeat4,difference_in_differences
swimmer,precision,0.7015169724632506,0.6797225704025056,0.8074429641845379,0.7891021839970545,-0.02179440206074501,-0.01834078018748342,0.10592599172128725,0.10937961359454884,0.003453621873261592
swimmer,recall,0.5085344706688433,0.4919087291697948,0.6824995543006838,0.7235955056179775,-0.016625741499048496,0.04109595131729371,0.1739650836318405,0.2316867764481827,0.05772169281634221
swimmer,map50,0.5009936192282052,0.48774810980185324,0.698362853085553,0.7063358778208951,-0.013245509426351942,0.007973024735342116,0.19736923385734784,0.2185877680190419,0.021218534161694058
swimmer,map50_95,0.16229778657617527,0.15640935275124326,0.2699513509060776,0.2701822191064072,-0.00588843382493201,0.00023086820032963695,0.10765356432990231,0.11377286635516395,0.006119302025261647
boat,precision,0.9277767385022141,0.9142280853312001,0.9238866207923719,0.9414072014669312,-0.013548653171013947,0.017520580674559305,-0.0038901177098421558,0.027179116135731096,0.031069233845573252
boat,recall,0.7876842299369705,0.764821444115934,0.8532289628180039,0.8336594911937377,-0.022862785821036513,-0.019569471624266144,0.06554473288103335,0.06883804707780372,0.0032933141967703694
boat,map50,0.8515775099113161,0.8318115705497428,0.8985551258477659,0.8957203400176127,-0.019765939361573337,-0.0028347858301531748,0.04697761593644978,0.06390876946786994,0.016931153531420162
boat,map50_95,0.5335032932967707,0.5220681545607038,0.5883575150943792,0.5855049230238665,-0.011435138736066941,-0.002852592070512694,0.05485422179760846,0.06343676846316271,0.008582546665554247
jetski,precision,0.6778862110250176,0.5365780353175179,0.8619663648666297,0.7440579436699994,-0.14130817570749965,-0.11790842119663025,0.18408015384161214,0.20747990835248153,0.023399754510869397
jetski,recall,0.6372549019607843,0.7026143790849673,0.7142560727413032,0.7125333064758647,0.065359477124183,-0.0017227662654385467,0.07700117078051893,0.009918927390897392,-0.06708224338962154
jetski,map50,0.6327838951331818,0.6262373434797724,0.7573249587633601,0.7447266861764271,-0.006546551653409338,-0.012598272586933024,0.12454106363017836,0.11848934269665468,-0.0060517209335236855
jetski,map50_95,0.2764994740697856,0.2684058224476191,0.4104109239649819,0.40126448464976167,-0.008093651622166464,-0.009146439315220245,0.13391144989519632,0.13285866220214254,-0.0010527876930537805
life_saving_appliances,precision,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0
life_saving_appliances,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
life_saving_appliances,map50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
life_saving_appliances,map50_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buoy,precision,0.8729884447248987,0.9186354797580024,0.7637761284270078,0.8081797462770649,0.045647035033103744,0.04440361785005709,-0.10921231629789085,-0.11045573348093751,-0.0012434171830466578
buoy,recall,0.6725674475847148,0.6443914081145584,0.9284009546539379,0.7943775957399463,-0.028176039470156344,-0.13402335891399164,0.25583350706922314,0.14998618762538785,-0.1058473194438353
buoy,map50,0.7180437085616175,0.6941711776879134,0.8879384763716578,0.8357293180619856,-0.023872530873704112,-0.05220915830967221,0.16989476781004031,0.14155814037407222,-0.028336627435968098
buoy,map50_95,0.42675230820799703,0.4227227233384001,0.5598031498514653,0.5275597961450819,-0.004029584869596925,-0.032243353706383426,0.13305084164346825,0.10483707280668175,-0.0282137688367865
