category,metric,natural_640,repeat4_640,natural_1280,delta_repeat4_minus_natural640,delta_natural1280_minus_natural640
swimmer,precision,0.7015169724632506,0.6797225704025056,0.8074429641845379,-0.02179440206074501,0.10592599172128725
swimmer,recall,0.5085344706688433,0.4919087291697948,0.6824995543006838,-0.016625741499048496,0.1739650836318405
swimmer,map50,0.5009936192282052,0.48774810980185324,0.698362853085553,-0.013245509426351942,0.19736923385734784
swimmer,map50_95,0.16229778657617527,0.15640935275124326,0.2699513509060776,-0.00588843382493201,0.10765356432990231
boat,precision,0.9277767385022141,0.9142280853312001,0.9238866207923719,-0.013548653171013947,-0.0038901177098421558
boat,recall,0.7876842299369705,0.764821444115934,0.8532289628180039,-0.022862785821036513,0.06554473288103335
boat,map50,0.8515775099113161,0.8318115705497428,0.8985551258477659,-0.019765939361573337,0.04697761593644978
boat,map50_95,0.5335032932967707,0.5220681545607038,0.5883575150943792,-0.011435138736066941,0.05485422179760846
jetski,precision,0.6778862110250176,0.5365780353175179,0.8619663648666297,-0.14130817570749965,0.18408015384161214
jetski,recall,0.6372549019607843,0.7026143790849673,0.7142560727413032,0.065359477124183,0.07700117078051893
jetski,map50,0.6327838951331818,0.6262373434797724,0.7573249587633601,-0.006546551653409338,0.12454106363017836
jetski,map50_95,0.2764994740697856,0.2684058224476191,0.4104109239649819,-0.008093651622166464,0.13391144989519632
life_saving_appliances,precision,1.0,0.0,1.0,-1.0,0.0
life_saving_appliances,recall,0.0,0.0,0.0,0.0,0.0
life_saving_appliances,map50,0.0,0.0,0.0,0.0,0.0
life_saving_appliances,map50_95,0.0,0.0,0.0,0.0,0.0
buoy,precision,0.8729884447248987,0.9186354797580024,0.7637761284270078,0.045647035033103744,-0.10921231629789085
buoy,recall,0.6725674475847148,0.6443914081145584,0.9284009546539379,-0.028176039470156344,0.25583350706922314
buoy,map50,0.7180437085616175,0.6941711776879134,0.8879384763716578,-0.023872530873704112,0.16989476781004031
buoy,map50_95,0.42675230820799703,0.4227227233384001,0.5598031498514653,-0.004029584869596925,0.13305084164346825
