category,metric,value_640,value_1280,delta_1280_minus_640
swimmer,precision,0.7015169724632506,0.7825286546847984,0.08101168222154775
swimmer,recall,0.5085344706688433,0.6808988764044944,0.17236440573565115
swimmer,map50,0.5009936192282052,0.6784416440533674,0.1774480248251622
swimmer,map50_95,0.16229778657617527,0.26469752520717776,0.10239973863100249
boat,precision,0.9277767385022141,0.9401452766825559,0.012368538180341782
boat,recall,0.7876842299369705,0.8564905414220483,0.06880631148507776
boat,map50,0.8515775099113161,0.8818295894375818,0.03025207952626574
boat,map50_95,0.5335032932967707,0.6091095855742032,0.07560629227743254
jetski,precision,0.6778862110250176,0.7021174161845203,0.024231205159502722
jetski,recall,0.6372549019607843,0.7625699169372097,0.1253150149764254
jetski,map50,0.6327838951331818,0.7419531628566196,0.10916926772343782
jetski,map50_95,0.2764994740697856,0.4034781991762535,0.1269787251064679
life_saving_appliances,precision,1.0,1.0,0.0
life_saving_appliances,recall,0.0,0.0,0.0
life_saving_appliances,map50,0.0,0.0,0.0
life_saving_appliances,map50_95,0.0,0.0,0.0
buoy,precision,0.8729884447248987,0.858660616341059,-0.014327828383839725
buoy,recall,0.6725674475847148,0.7517899761336515,0.07922252854893674
buoy,map50,0.7180437085616175,0.8206498010434362,0.10260609248181873
buoy,map50_95,0.42675230820799703,0.5200368573869579,0.0932845491789609
