variant,reference,metric,point_difference,bootstrap_median_difference,ci_2.5,ci_97.5,groups,repetitions,interpretation
altitude,raw,brier,0.0022217177366537,0.0022093726751013,-0.0010626767212065,0.0067862343556603,31,1000,negative favors candidate
altitude_gimbal,raw,brier,0.0041252427431772,0.0041459539402894,0.000527610752756,0.009292991885161,31,1000,negative favors candidate
class_logistic,raw,brier,0.002426028436526,0.0024528529057251,-0.0006656615304392,0.0065705117946516,31,1000,negative favors candidate
full_metadata,raw,brier,0.0042069746428376,0.0042368562714079,0.0005376687203554,0.0094540391779253,31,1000,negative favors candidate
global_logistic,raw,brier,-0.0008264779411496,-0.00083028508484,-0.0016049720483919,-4.6380037430057046e-05,31,1000,negative favors candidate
altitude,raw,ece,-0.0065755061363674,-0.0052154507318703,-0.0082973925056013,-0.0011801702484201,31,1000,negative favors candidate
altitude_gimbal,raw,ece,-0.0114781389037645,-0.0090307665039936,-0.0163715228316057,-0.0033929192276111,31,1000,negative favors candidate
class_logistic,raw,ece,-0.0034551182427945,-0.0021079703916687,-0.0054729038676688,0.0013681838033616,31,1000,negative favors candidate
full_metadata,raw,ece,-0.0113141330227073,-0.0091742950019942,-0.0165681079641007,-0.0035422155630841,31,1000,negative favors candidate
global_logistic,raw,ece,-4.787490384983509e-05,-0.0003213155921281,-0.0041879499715581,0.0019027445584411,31,1000,negative favors candidate
altitude,raw,nll,0.0081788335526361,0.0082897702785496,-0.0018409750878694,0.0216206602713497,31,1000,negative favors candidate
altitude_gimbal,raw,nll,0.0106181358558172,0.0107293183325054,0.0010012158224158,0.0246790916423325,31,1000,negative favors candidate
class_logistic,raw,nll,0.0074492836677393,0.0074355108843764,-0.0021473126787092,0.0194403573402236,31,1000,negative favors candidate
full_metadata,raw,nll,0.0108494510564933,0.0109384652010521,0.0010754274848055,0.0251335118716126,31,1000,negative favors candidate
global_logistic,raw,nll,-0.0013800895098489,-0.0014514278151986,-0.0032384198007672,0.0005238859659631,31,1000,negative favors candidate
