variant,target_fp_per_image,threshold_selected_on_policy,policy_recall,policy_fp_per_image,evaluation_recall,evaluation_fp_per_image,evaluation_true_positives,evaluation_false_positives
class_logistic,0.1,0.8133738418091305,0.2291015217844486,0.0996640537513997,0.1975077881619937,0.0361990950226244,1902,56
class_logistic,0.25,0.696342922028203,0.2835105274129664,0.2497200447928331,0.3353063343717549,0.1021331609566903,3229,158
class_logistic,0.5,0.544262439988395,0.4117156556180946,0.4994400895856662,0.5349948078920042,0.4201680672268907,5152,650
class_logistic,1.0,0.4008804345636883,0.5301229935376277,1.0,0.6657320872274143,0.9224305106658048,6411,1427
global_logistic,0.1,0.7710469065079378,0.2839274546591619,0.0996640537513997,0.2882658359293873,0.0685197155785391,2776,106
global_logistic,0.25,0.6770543729960026,0.3819053575151136,0.2497200447928331,0.4362409138110072,0.2087912087912088,4201,323
global_logistic,0.5,0.5729783772045078,0.4913487596414426,0.4994400895856662,0.5829698857736241,0.4945054945054945,5614,765
global_logistic,1.0,0.4407316130418791,0.5947467166979362,1.0,0.6897196261682244,0.9851325145442792,6642,1524
raw,0.1,0.7389642596244812,0.2839274546591619,0.0996640537513997,0.2882658359293873,0.0685197155785391,2776,106
raw,0.25,0.6338585019111633,0.3819053575151136,0.2497200447928331,0.4362409138110072,0.2087912087912088,4201,323
raw,0.5,0.5214297771453857,0.4913487596414426,0.4994400895856662,0.5829698857736241,0.4945054945054945,5614,765
raw,1.0,0.3854575455188751,0.5947467166979362,1.0,0.6897196261682244,0.9851325145442792,6642,1524
