variant,target_fp_per_image,threshold_selected_on_policy,policy_recall,policy_fp_per_image,evaluation_recall,evaluation_fp_per_image,evaluation_true_positives,evaluation_false_positives
altitude,0.1,0.821458777899125,0.2491140296018344,0.0996640537513997,0.2179598953792502,0.0347666971637694,1500,38
altitude,0.25,0.7347647191466348,0.3081092349385032,0.2497200447928331,0.2811682650392327,0.0933211344922232,1935,102
altitude,0.5,0.61639484199558,0.4115071919949968,0.4994400895856662,0.4043882592269689,0.2982616651418115,2783,326
altitude,1.0,0.4597055548318078,0.5124035855743173,1.0,0.587474571345539,0.8929551692589204,4043,976
altitude_gimbal,0.1,0.9101850738500712,0.2299353762768397,0.0996640537513997,0.1730601569311246,0.0439158279963403,1191,48
altitude_gimbal,0.25,0.8502557732316329,0.2714196372732958,0.2497200447928331,0.2276954373728567,0.0777676120768527,1567,85
altitude_gimbal,0.5,0.7003294937751449,0.3756514488221805,0.4994400895856662,0.3237430979366463,0.2058554437328453,2228,225
altitude_gimbal,1.0,0.5442047814434415,0.5082343131123619,1.0,0.4520488230165649,0.5306495882891126,3111,580
class_logistic,0.1,0.8133738418091305,0.2291015217844486,0.0996640537513997,0.2130194710839872,0.0320219579139981,1466,35
class_logistic,0.25,0.696342922028203,0.2835105274129664,0.2497200447928331,0.2757919209532112,0.0887465690759377,1898,97
class_logistic,0.5,0.544262439988395,0.4117156556180946,0.4994400895856662,0.4665794827085149,0.4565416285452882,3211,499
class_logistic,1.0,0.4008804345636883,0.5301229935376277,1.0,0.6192967160709096,1.0622140896614822,4262,1161
full_metadata,0.1,0.9120168720383912,0.2320200125078174,0.0996640537513997,0.1718977041557686,0.0457456541628545,1183,50
full_metadata,0.25,0.852722995511616,0.2745465916197623,0.2497200447928331,0.2279860505666957,0.0795974382433668,1569,87
full_metadata,0.5,0.7052146216155816,0.3794037940379404,0.4994400895856662,0.3238884045335658,0.2095150960658737,2229,229
full_metadata,1.0,0.5465624017019711,0.5105274129664373,1.0,0.4501598372566114,0.5279048490393413,3098,577
global_logistic,0.1,0.7710469065079378,0.2839274546591619,0.0996640537513997,0.2499273467015402,0.0594693504117108,1720,65
global_logistic,0.25,0.6770543729960026,0.3819053575151136,0.2497200447928331,0.3596338273757629,0.202195791399817,2475,221
global_logistic,0.5,0.5729783772045078,0.4913487596414426,0.4994400895856662,0.5190351641964546,0.5434583714547118,3572,594
global_logistic,1.0,0.4407316130418791,0.5947467166979362,1.0,0.6451612903225806,1.1344922232387924,4440,1240
raw,0.1,0.7389642596244812,0.2839274546591619,0.0996640537513997,0.2499273467015402,0.0594693504117108,1720,65
raw,0.25,0.6338585019111633,0.3819053575151136,0.2497200447928331,0.3596338273757629,0.202195791399817,2475,221
raw,0.5,0.5214297771453857,0.4913487596414426,0.4994400895856662,0.5190351641964546,0.5434583714547118,3572,594
raw,1.0,0.3854575455188751,0.5947467166979362,1.0,0.6451612903225806,1.1344922232387924,4440,1240
