dimension,slice,variant,detections,true_positive_rate,ece,mce,brier,nll
source_role,calibration_source_seen,altitude,8033,0.1766463338727748,0.033477689404981,0.235613708936604,0.0515503514134522,0.1754171358521002
source_role,calibration_source_seen,altitude_gimbal,8033,0.1766463338727748,0.0311135742849296,0.227148411846734,0.0528571513661552,0.1782547250723182
source_role,calibration_source_seen,class_logistic,8033,0.1766463338727748,0.0292167581074507,0.2336299041383943,0.0510995325941728,0.1741221835762376
source_role,calibration_source_seen,full_metadata,8033,0.1766463338727748,0.0308740529577567,0.2286565668048229,0.0529294067706683,0.1783711635530276
source_role,calibration_source_seen,global_logistic,8033,0.1766463338727748,0.0301034725936409,0.1651389177525711,0.0519609162847504,0.1777988729644099
source_role,calibration_source_seen,raw,8033,0.1766463338727748,0.0343184474241832,0.2014871257192947,0.0534369918115949,0.1811732917136516
source_role,calibrator_source_unseen,altitude,22695,0.1421458471028861,0.0247853998668217,0.2008174784821422,0.0445577588666551,0.1570460299228629
source_role,calibrator_source_unseen,altitude_gimbal,22695,0.1421458471028861,0.019961807276054,0.2370924831226519,0.0473301169486488,0.1606737220334934
source_role,calibrator_source_unseen,class_logistic,22695,0.1421458471028861,0.0294685022329576,0.2179299203845875,0.0456542874325722,0.1578338341295108
source_role,calibrator_source_unseen,full_metadata,22695,0.1421458471028861,0.0201754352928982,0.2387233253197802,0.0474196940414468,0.1609912671294924
source_role,calibrator_source_unseen,global_logistic,22695,0.1421458471028861,0.0307891536762653,0.1648328205699796,0.0409003662546897,0.1435980898525126
source_role,calibrator_source_unseen,raw,22695,0.1421458471028861,0.0300241070702426,0.2222614287265709,0.0419841310167724,0.1449940149380218
source_role,policy_source_seen,altitude,5508,0.1123819898329702,0.0295712161438388,0.3221917658401353,0.0542940006262722,0.1791446173475198
source_role,policy_source_seen,altitude_gimbal,5508,0.1123819898329702,0.0277609948758137,0.3044726314968329,0.0534878897775928,0.1761064422569792
source_role,policy_source_seen,class_logistic,5508,0.1123819898329702,0.0246998227531593,0.3226849880536901,0.0517774999531342,0.1729876031015169
source_role,policy_source_seen,full_metadata,5508,0.1123819898329702,0.0283457487606399,0.2609299204359587,0.053551117324904,0.1761499973300483
source_role,policy_source_seen,global_logistic,5508,0.1123819898329702,0.0258440979150672,0.3334736502033998,0.0487115821688521,0.1681953380412764
source_role,policy_source_seen,raw,5508,0.1123819898329702,0.0220138393583442,0.2797035548422071,0.0475305543353175,0.1666016012676009
