dimension,slice,variant,target_fp_per_image,threshold_selected_on_policy,images,ground_truth,true_positives,false_positives,recall,fp_per_image
source_role,calibration_source_seen,altitude,0.1,0.821458777899125,225,1754,532,14,0.3033067274800456,0.0622222222222222
source_role,calibration_source_seen,altitude,0.25,0.7347647191466348,225,1754,603,14,0.3437856328392246,0.0622222222222222
source_role,calibration_source_seen,altitude,0.5,0.61639484199558,225,1754,670,25,0.3819840364880273,0.1111111111111111
source_role,calibration_source_seen,altitude,1.0,0.4597055548318078,225,1754,1047,180,0.5969213226909921,0.8
source_role,calibration_source_seen,altitude_gimbal,0.1,0.9101850738500712,225,1754,406,7,0.2314709236031927,0.0311111111111111
source_role,calibration_source_seen,altitude_gimbal,0.25,0.8502557732316329,225,1754,545,14,0.3107183580387685,0.0622222222222222
source_role,calibration_source_seen,altitude_gimbal,0.5,0.7003294937751449,225,1754,629,15,0.3586088939566704,0.0666666666666666
source_role,calibration_source_seen,altitude_gimbal,1.0,0.5442047814434415,225,1754,804,83,0.4583808437856328,0.3688888888888889
source_role,calibration_source_seen,class_logistic,0.1,0.8133738418091305,225,1754,539,14,0.3072976054732041,0.0622222222222222
source_role,calibration_source_seen,class_logistic,0.25,0.696342922028203,225,1754,604,17,0.3443557582668187,0.0755555555555555
source_role,calibration_source_seen,class_logistic,0.5,0.544262439988395,225,1754,904,121,0.5153933865450399,0.5377777777777778
source_role,calibration_source_seen,class_logistic,1.0,0.4008804345636883,225,1754,1190,285,0.6784492588369442,1.2666666666666666
source_role,calibration_source_seen,full_metadata,0.1,0.9120168720383912,225,1754,396,9,0.2257696693272519,0.04
source_role,calibration_source_seen,full_metadata,0.25,0.852722995511616,225,1754,542,14,0.3090079817559863,0.0622222222222222
source_role,calibration_source_seen,full_metadata,0.5,0.7052146216155816,225,1754,628,15,0.3580387685290764,0.0666666666666666
source_role,calibration_source_seen,full_metadata,1.0,0.5465624017019711,225,1754,796,75,0.4538198403648802,0.3333333333333333
source_role,calibration_source_seen,global_logistic,0.1,0.7710469065079378,225,1754,543,16,0.3095781071835803,0.0711111111111111
source_role,calibration_source_seen,global_logistic,0.25,0.6770543729960026,225,1754,645,45,0.3677309007981756,0.2
source_role,calibration_source_seen,global_logistic,0.5,0.5729783772045078,225,1754,931,145,0.5307867730900798,0.6444444444444445
source_role,calibration_source_seen,global_logistic,1.0,0.4407316130418791,225,1754,1180,282,0.6727480045610034,1.2533333333333334
source_role,calibration_source_seen,raw,0.1,0.7389642596244812,225,1754,543,16,0.3095781071835803,0.0711111111111111
source_role,calibration_source_seen,raw,0.25,0.6338585019111633,225,1754,645,45,0.3677309007981756,0.2
source_role,calibration_source_seen,raw,0.5,0.5214297771453857,225,1754,931,145,0.5307867730900798,0.6444444444444445
source_role,calibration_source_seen,raw,1.0,0.3854575455188751,225,1754,1180,282,0.6727480045610034,1.2533333333333334
source_role,calibrator_source_unseen,altitude,0.1,0.821458777899125,682,4079,744,21,0.1823976464819808,0.0307917888563049
source_role,calibrator_source_unseen,altitude,0.25,0.7347647191466348,682,4079,1088,59,0.2667320421671978,0.0865102639296187
source_role,calibrator_source_unseen,altitude,0.5,0.61639484199558,682,4079,1808,201,0.4432458936013729,0.2947214076246334
source_role,calibrator_source_unseen,altitude,1.0,0.4597055548318078,682,4079,2563,544,0.6283402794802647,0.7976539589442815
source_role,calibrator_source_unseen,altitude_gimbal,0.1,0.9101850738500712,682,4079,564,37,0.1382691836234371,0.0542521994134897
source_role,calibrator_source_unseen,altitude_gimbal,0.25,0.8502557732316329,682,4079,790,58,0.1936749203236087,0.0850439882697947
source_role,calibrator_source_unseen,altitude_gimbal,0.5,0.7003294937751449,682,4079,1325,160,0.3248345182642804,0.2346041055718475
source_role,calibrator_source_unseen,altitude_gimbal,1.0,0.5442047814434415,682,4079,1934,335,0.4741358176023535,0.4912023460410557
source_role,calibrator_source_unseen,class_logistic,0.1,0.8133738418091305,682,4079,711,19,0.1743074282912478,0.0278592375366568
source_role,calibrator_source_unseen,class_logistic,0.25,0.696342922028203,682,4079,1054,57,0.2583966658494729,0.0835777126099706
source_role,calibrator_source_unseen,class_logistic,0.5,0.544262439988395,682,4079,1999,268,0.4900710958568277,0.3929618768328445
source_role,calibrator_source_unseen,class_logistic,1.0,0.4008804345636883,682,4079,2649,648,0.649423878401569,0.9501466275659824
source_role,calibrator_source_unseen,full_metadata,0.1,0.9120168720383912,682,4079,565,38,0.138514341750429,0.0557184750733137
source_role,calibrator_source_unseen,full_metadata,0.25,0.852722995511616,682,4079,794,60,0.1946555528315763,0.0879765395894428
source_role,calibrator_source_unseen,full_metadata,0.5,0.7052146216155816,682,4079,1326,167,0.3250796763912724,0.2448680351906158
source_role,calibrator_source_unseen,full_metadata,1.0,0.5465624017019711,682,4079,1933,337,0.4738906594753616,0.4941348973607038
source_role,calibrator_source_unseen,global_logistic,0.1,0.7710469065079378,682,4079,907,39,0.2223584211816621,0.0571847507331378
source_role,calibrator_source_unseen,global_logistic,0.25,0.6770543729960026,682,4079,1534,130,0.3760725668055896,0.1906158357771261
source_role,calibrator_source_unseen,global_logistic,0.5,0.5729783772045078,682,4079,2265,313,0.5552831576366757,0.4589442815249266
source_role,calibrator_source_unseen,global_logistic,1.0,0.4407316130418791,682,4079,2787,715,0.6832556999264525,1.0483870967741935
source_role,calibrator_source_unseen,raw,0.1,0.7389642596244812,682,4079,907,39,0.2223584211816621,0.0571847507331378
source_role,calibrator_source_unseen,raw,0.25,0.6338585019111633,682,4079,1534,130,0.3760725668055896,0.1906158357771261
source_role,calibrator_source_unseen,raw,0.5,0.5214297771453857,682,4079,2265,313,0.5552831576366757,0.4589442815249266
source_role,calibrator_source_unseen,raw,1.0,0.3854575455188751,682,4079,2787,715,0.6832556999264525,1.0483870967741935
source_role,policy_source_seen,altitude,0.1,0.821458777899125,186,1049,224,3,0.213536701620591,0.0161290322580645
source_role,policy_source_seen,altitude,0.25,0.7347647191466348,186,1049,244,29,0.2326024785510009,0.1559139784946236
source_role,policy_source_seen,altitude,0.5,0.61639484199558,186,1049,305,100,0.2907530981887511,0.5376344086021505
source_role,policy_source_seen,altitude,1.0,0.4597055548318078,186,1049,433,252,0.4127740705433746,1.3548387096774193
source_role,policy_source_seen,altitude_gimbal,0.1,0.9101850738500712,186,1049,221,4,0.2106768350810295,0.021505376344086
source_role,policy_source_seen,altitude_gimbal,0.25,0.8502557732316329,186,1049,232,13,0.221163012392755,0.0698924731182795
source_role,policy_source_seen,altitude_gimbal,0.5,0.7003294937751449,186,1049,274,50,0.2612011439466158,0.2688172043010752
source_role,policy_source_seen,altitude_gimbal,1.0,0.5442047814434415,186,1049,373,162,0.3555767397521449,0.8709677419354839
source_role,policy_source_seen,class_logistic,0.1,0.8133738418091305,186,1049,216,2,0.205910390848427,0.010752688172043
source_role,policy_source_seen,class_logistic,0.25,0.696342922028203,186,1049,240,23,0.2287893231649189,0.1236559139784946
