dimension,slice,variant,detections,true_positive_rate,ece,mce,brier,nll
source_role,calibration_source_seen,altitude,9028,0.1520824102791315,0.0280763164130466,0.1676346718231144,0.0489347601744508,0.1715379597697833
source_role,calibration_source_seen,altitude_gimbal,9028,0.1520824102791315,0.0246592411316799,0.1935442540482743,0.0493656182871556,0.1705088796922245
source_role,calibration_source_seen,class_logistic,9028,0.1520824102791315,0.0278532634211439,0.163781024521998,0.0489321988324741,0.1715431349254159
source_role,calibration_source_seen,full_metadata,9028,0.1520824102791315,0.0239582944635664,0.1980660190770123,0.0497664027247213,0.1708057061382557
source_role,calibration_source_seen,global_logistic,9028,0.1520824102791315,0.0292175574179439,0.2089654203785946,0.0505983554034908,0.1767034472565244
source_role,calibration_source_seen,raw,9028,0.1520824102791315,0.0312268956519157,0.2209927248954774,0.0512913687373439,0.1782673978687112
source_role,calibrator_source_unseen,altitude,28705,0.1074725657550949,0.0233577224960011,0.1713294219015295,0.0433299728240595,0.1566826070994196
source_role,calibrator_source_unseen,altitude_gimbal,28705,0.1074725657550949,0.0147777447081186,0.1181569167920573,0.0464922210404583,0.1612287951658838
source_role,calibrator_source_unseen,class_logistic,28705,0.1074725657550949,0.0234990799906507,0.1729548186633278,0.0433217967574238,0.1564315212696706
source_role,calibrator_source_unseen,full_metadata,28705,0.1074725657550949,0.0138859048961147,0.1095833894567416,0.049115375397596,0.1681631283307396
source_role,calibrator_source_unseen,global_logistic,28705,0.1074725657550949,0.0206905677194074,0.1888833234898022,0.0405195593670819,0.1406793022916915
source_role,calibrator_source_unseen,raw,28705,0.1074725657550949,0.0231885052807959,0.2068427152182222,0.0410519001478131,0.1419954085810278
source_role,policy_source_seen,altitude,7471,0.0789720251639673,0.0224766863123172,0.1671800829892633,0.0412000444602329,0.1474319764853783
source_role,policy_source_seen,altitude_gimbal,7471,0.0789720251639673,0.0197467061958603,0.3195728197917197,0.0423151686344235,0.1469600309727092
source_role,policy_source_seen,class_logistic,7471,0.0789720251639673,0.0224385879889001,0.1748586406580206,0.0410982860914438,0.1470401286274775
source_role,policy_source_seen,full_metadata,7471,0.0789720251639673,0.0208986687195092,0.2917235823716891,0.0422405969950579,0.1449513526160215
source_role,policy_source_seen,global_logistic,7471,0.0789720251639673,0.0221355546883331,0.1912804654947402,0.0366558852653419,0.1348657878941037
source_role,policy_source_seen,raw,7471,0.0789720251639673,0.0221599531550698,0.1979317040670485,0.0367206393715027,0.1350497284496722
