dimension,slice,variant,target_fp_per_image,threshold_selected_on_policy,images,ground_truth,true_positives,false_positives,recall,fp_per_image
source_role,calibration_source_seen,altitude,0.1,0.7531974882782179,225,1754,518,10,0.2953249714937286,0.0444444444444444
source_role,calibration_source_seen,altitude,0.25,0.6588669818981866,225,1754,642,33,0.3660205245153934,0.1466666666666666
source_role,calibration_source_seen,altitude,0.5,0.5499181426231659,225,1754,862,116,0.4914481185860889,0.5155555555555555
source_role,calibration_source_seen,altitude,1.0,0.4127592836329306,225,1754,1086,279,0.6191562143671607,1.24
source_role,calibration_source_seen,altitude_gimbal,0.1,0.8602006674576257,225,1754,495,9,0.282212086659065,0.04
source_role,calibration_source_seen,altitude_gimbal,0.25,0.7496195156080271,225,1754,540,14,0.3078677309007981,0.0622222222222222
source_role,calibration_source_seen,altitude_gimbal,0.5,0.6361019868258976,225,1754,628,26,0.3580387685290764,0.1155555555555555
source_role,calibration_source_seen,altitude_gimbal,1.0,0.5083894568276681,225,1754,873,128,0.4977194982896237,0.5688888888888889
source_role,calibration_source_seen,class_logistic,0.1,0.7493441901130184,225,1754,520,11,0.2964652223489167,0.0488888888888888
source_role,calibration_source_seen,class_logistic,0.25,0.6544880418671466,225,1754,652,35,0.3717217787913341,0.1555555555555555
source_role,calibration_source_seen,class_logistic,0.5,0.5461386452851359,225,1754,875,121,0.4988597491448118,0.5377777777777778
source_role,calibration_source_seen,class_logistic,1.0,0.4099827960831759,225,1754,1093,285,0.6231470923603193,1.2666666666666666
source_role,calibration_source_seen,full_metadata,0.1,0.8751093829330712,225,1754,489,10,0.2787913340935005,0.0444444444444444
source_role,calibration_source_seen,full_metadata,0.25,0.7743658760101133,225,1754,541,13,0.3084378563283922,0.0577777777777777
source_role,calibration_source_seen,full_metadata,0.5,0.6614888134856454,225,1754,593,24,0.3380843785632839,0.1066666666666666
source_role,calibration_source_seen,full_metadata,1.0,0.5367560073493697,225,1754,794,91,0.4526795895096921,0.4044444444444444
source_role,calibration_source_seen,global_logistic,0.1,0.7212421133598206,225,1754,522,10,0.2976054732041049,0.0444444444444444
source_role,calibration_source_seen,global_logistic,0.25,0.6397936030446776,225,1754,640,36,0.3648802736602052,0.16
source_role,calibration_source_seen,global_logistic,0.5,0.538856722456463,225,1754,850,112,0.4846066134549601,0.4977777777777777
source_role,calibration_source_seen,global_logistic,1.0,0.4119000581518251,225,1754,1060,260,0.6043329532497149,1.1555555555555554
source_role,calibration_source_seen,raw,0.1,0.7017635703086853,225,1754,522,10,0.2976054732041049,0.0444444444444444
source_role,calibration_source_seen,raw,0.25,0.6211246848106384,225,1754,640,36,0.3648802736602052,0.16
source_role,calibration_source_seen,raw,0.5,0.5229954719543457,225,1754,850,112,0.4846066134549601,0.4977777777777777
source_role,calibration_source_seen,raw,1.0,0.4013839364051819,225,1754,1060,260,0.6043329532497149,1.1555555555555554
source_role,calibrator_source_unseen,altitude,0.1,0.7531974882782179,682,4079,757,32,0.1855847021328757,0.0469208211143695
source_role,calibrator_source_unseen,altitude,0.25,0.6588669818981866,682,4079,1034,100,0.2534935033096347,0.1466275659824047
source_role,calibrator_source_unseen,altitude,0.5,0.5499181426231659,682,4079,1617,283,0.3964206913459181,0.4149560117302053
source_role,calibrator_source_unseen,altitude,1.0,0.4127592836329306,682,4079,2199,676,0.5391027212552096,0.9912023460410556
source_role,calibrator_source_unseen,altitude_gimbal,0.1,0.8602006674576257,682,4079,656,43,0.1608237313066928,0.063049853372434
source_role,calibrator_source_unseen,altitude_gimbal,0.25,0.7496195156080271,682,4079,929,122,0.2277518999754842,0.1788856304985337
source_role,calibrator_source_unseen,altitude_gimbal,0.5,0.6361019868258976,682,4079,1240,259,0.3039960774699681,0.3797653958944281
source_role,calibrator_source_unseen,altitude_gimbal,1.0,0.5083894568276681,682,4079,1695,499,0.415543025251287,0.7316715542521994
source_role,calibrator_source_unseen,class_logistic,0.1,0.7493441901130184,682,4079,763,32,0.1870556508948271,0.0469208211143695
source_role,calibrator_source_unseen,class_logistic,0.25,0.6544880418671466,682,4079,1046,104,0.2564354008335376,0.1524926686217008
