epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,511.616,1.75705,2.60437,1.06274,0.76355,0.52306,0.54512,0.28094,1.75317,2.06831,0.99393,0.00999446,0.00333149,0.00999446,0.00333149,0.00999446,0.00333149,0.00999446,0.00333149
2,938.357,1.67917,1.42251,1.05455,0.79661,0.55435,0.5731,0.29623,1.72091,1.33839,0.98997,0.0197965,0.00659884,0.0197965,0.00659884,0.0197965,0.00659884,0.0197965,0.00659884
3,1350.87,1.71217,1.14405,1.06753,0.79949,0.55026,0.56019,0.29713,1.72691,1.14773,0.99944,0.0294006,0.00980019,0.0294006,0.00980019,0.0294006,0.00980019,0.0294006,0.00980019
4,1748.98,1.70799,1.03897,1.07614,0.7992,0.57719,0.57534,0.30236,1.77648,1.05306,1.02051,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2152.32,1.65835,0.95438,1.05652,0.82687,0.59347,0.60344,0.31851,1.69294,0.95904,0.99967,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2544.48,1.61274,0.90346,1.04601,0.86268,0.59456,0.61429,0.32663,1.7212,0.90073,1.01245,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2947.24,1.59217,0.86462,1.03979,0.85985,0.61882,0.63579,0.34056,1.66191,0.85633,0.99975,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3376.64,1.56251,0.8468,1.03203,0.86661,0.56525,0.60067,0.32451,1.63514,0.89399,0.99247,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3820.47,1.54113,0.82598,1.02644,0.85926,0.57287,0.59815,0.32226,1.63076,0.83713,0.99054,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4212.41,1.52171,0.80953,1.02355,0.86012,0.59186,0.61251,0.32222,1.66164,0.8449,0.99463,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4600.44,1.50414,0.79369,1.01694,0.84154,0.59794,0.61924,0.3327,1.63635,0.85608,0.98622,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4984.74,1.49464,0.77921,1.01365,0.65132,0.61389,0.62389,0.33387,1.63262,0.82032,0.99441,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5364.53,1.46597,0.75917,1.00689,0.85356,0.61238,0.63174,0.34221,1.65537,0.82307,0.99523,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5733.32,1.46541,0.76053,1.00481,0.65227,0.5879,0.61192,0.33909,1.61646,0.82729,0.98181,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6093.68,1.44647,0.74468,0.99857,0.64728,0.59474,0.61566,0.34207,1.63552,0.85974,0.99476,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6452.74,1.43069,0.72914,0.99364,0.83246,0.58267,0.60024,0.33085,1.62679,0.83916,0.9915,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6811.63,1.42435,0.72474,0.99212,0.85576,0.60343,0.6118,0.34037,1.63037,0.81104,0.99299,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7187.41,1.42288,0.71848,0.9875,0.82708,0.61885,0.62265,0.33852,1.60713,0.81131,0.98334,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7600.13,1.42541,0.7159,0.9906,0.84727,0.60313,0.61847,0.34352,1.59491,0.8053,0.97561,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8010.91,1.40167,0.70735,0.98317,0.80973,0.58913,0.59356,0.32799,1.64798,0.84146,0.99349,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8457.03,1.40434,0.70375,0.98247,0.84309,0.60352,0.62465,0.34351,1.62543,0.79876,0.98508,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8846.73,1.3904,0.69781,0.97804,0.82866,0.60595,0.60542,0.33524,1.60101,0.81124,0.98749,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9233.43,1.3875,0.69152,0.97948,0.63607,0.59289,0.59311,0.32726,1.6438,0.82189,1.00128,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9621.84,1.37718,0.68743,0.97972,0.86939,0.6097,0.62458,0.34581,1.61802,0.81557,0.99265,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10023.4,1.36839,0.67988,0.9748,0.64725,0.61363,0.62049,0.34064,1.60232,0.76703,0.98134,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10422.4,1.35749,0.67329,0.97329,0.87236,0.62519,0.63616,0.3509,1.59525,0.77031,0.98225,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,10797.4,1.35499,0.6681,0.97125,0.83177,0.63176,0.61869,0.33842,1.59404,0.78686,0.98116,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11159.5,1.34698,0.66135,0.9674,0.65021,0.62229,0.62976,0.35151,1.59228,0.77362,0.98143,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,11518.7,1.3407,0.65884,0.96444,0.8665,0.60641,0.62858,0.34524,1.60593,0.75462,0.98388,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,11874.8,1.33192,0.65475,0.96643,0.86027,0.61108,0.62587,0.3437,1.58533,0.75253,0.9802,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,12230.4,1.32033,0.6432,0.96195,0.65418,0.61912,0.6346,0.34345,1.62517,0.76972,0.99557,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,12588.1,1.30965,0.64107,0.95548,0.8644,0.61036,0.62492,0.3476,1.59359,0.77427,0.98606,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,12951.1,1.31699,0.64301,0.95844,0.64406,0.61907,0.6191,0.34411,1.58452,0.74946,0.97482,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13319.6,1.31455,0.64081,0.96146,0.8832,0.61625,0.63556,0.35312,1.58392,0.74275,0.98394,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13691.2,1.30579,0.63701,0.95469,0.87128,0.62232,0.63444,0.3552,1.59784,0.74623,0.9869,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14066.2,1.29801,0.62509,0.95179,0.87192,0.62887,0.63612,0.354,1.60003,0.75631,0.97968,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14443.4,1.29217,0.62415,0.95322,0.87853,0.62243,0.64051,0.3528,1.60403,0.74673,0.98609,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,14811.5,1.3035,0.63002,0.9524,0.86243,0.62401,0.63201,0.35157,1.59911,0.74509,0.97766,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15170.7,1.28047,0.61753,0.9478,0.88483,0.63613,0.64077,0.36159,1.58395,0.72731,0.97718,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,15526.5,1.28544,0.62533,0.95126,0.85456,0.63527,0.63638,0.3511,1.5896,0.74188,0.97689,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,15883.6,1.27182,0.61194,0.94452,0.87134,0.63467,0.64001,0.35899,1.57397,0.71949,0.97445,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,16244.6,1.26636,0.60613,0.94414,0.85759,0.63018,0.63763,0.3537,1.59734,0.7337,0.98658,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,16611.1,1.26405,0.60905,0.94433,0.86622,0.63119,0.63622,0.35584,1.59395,0.72677,0.98333,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,16982.1,1.2621,0.6075,0.94479,0.89067,0.63277,0.65176,0.35984,1.59321,0.711,0.9814,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,17357.3,1.25682,0.60174,0.9407,0.87767,0.62534,0.64221,0.35872,1.57214,0.71154,0.9736,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,17739.6,1.25734,0.603,0.94376,0.68097,0.63382,0.64996,0.35773,1.61637,0.72942,0.98882,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,18121.6,1.26391,0.60852,0.94318,0.86203,0.62941,0.64015,0.35317,1.59697,0.73398,0.98311,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,18506.8,1.24446,0.5969,0.94032,0.87809,0.63425,0.65051,0.35809,1.6228,0.73342,0.99744,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,18894,1.2417,0.59682,0.93812,0.8915,0.64302,0.65692,0.36313,1.56991,0.70707,0.97431,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,19282.7,1.23575,0.58861,0.9361,0.68091,0.64046,0.6487,0.36138,1.5772,0.72127,0.9736,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,19668.8,1.24804,0.59268,0.9388,0.87949,0.63333,0.65186,0.36223,1.58351,0.70457,0.98017,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,20040.9,1.22693,0.58462,0.93324,0.87577,0.62282,0.64027,0.35564,1.60532,0.72021,0.98683,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,20405.3,1.22124,0.58558,0.93427,0.8827,0.61897,0.64184,0.35718,1.56747,0.72016,0.9757,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,20767.1,1.22563,0.58504,0.93203,0.88113,0.62455,0.64297,0.36129,1.56639,0.71162,0.97843,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,21129.9,1.21308,0.58071,0.92931,0.87366,0.62696,0.63798,0.35822,1.57117,0.71229,0.9807,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,21498.2,1.21389,0.57705,0.93072,0.86542,0.62912,0.64494,0.36136,1.58394,0.70856,0.98643,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,21868.9,1.20887,0.57438,0.92772,0.88011,0.62163,0.64258,0.36224,1.57398,0.69974,0.98528,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,22240.5,1.19811,0.56792,0.92726,0.68228,0.62954,0.64535,0.35939,1.59252,0.69558,0.98946,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,22618,1.19338,0.56695,0.92461,0.87837,0.63034,0.64217,0.35786,1.57947,0.70564,0.98406,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,22999,1.20332,0.5706,0.92677,0.87301,0.61912,0.64331,0.36251,1.57188,0.70284,0.98036,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,23380.7,1.19409,0.56388,0.92435,0.8681,0.63566,0.64407,0.36268,1.59768,0.70412,0.99311,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,23763.5,1.18032,0.55558,0.92105,0.87218,0.63404,0.64457,0.35996,1.59334,0.70776,0.99243,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,24145.1,1.18511,0.55719,0.92328,0.87878,0.63004,0.63985,0.35671,1.59268,0.71047,0.98889,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,24529.4,1.17585,0.55622,0.91696,0.87547,0.62644,0.63956,0.35583,1.59793,0.72259,0.98848,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,24896.7,1.17544,0.5533,0.91872,0.87243,0.61896,0.63809,0.35608,1.59014,0.7119,0.98385,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,25257.3,1.1674,0.55008,0.91679,0.87174,0.6298,0.64308,0.36174,1.57302,0.70055,0.98019,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,25617.3,1.17047,0.55442,0.91644,0.86198,0.62738,0.63931,0.36243,1.61429,0.72126,1.00079,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,25980.6,1.16134,0.54648,0.91729,0.88151,0.62199,0.6406,0.35926,1.61446,0.71742,0.99506,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,26347.3,1.15968,0.54353,0.91526,0.87137,0.62161,0.6339,0.35647,1.61553,0.72812,0.99667,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
