epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,379.182,1.7598,2.2088,1.02528,0.77837,0.51417,0.54199,0.2835,1.7383,1.65246,0.9997,0.000370096,0.000370096,0.000370096
2,693.307,1.65867,1.12396,1.01434,0.80389,0.54051,0.58693,0.31004,1.72043,1.07798,0.98943,0.000733099,0.000733099,0.000733099
3,992.544,1.62586,0.96,1.00762,0.84874,0.59143,0.62892,0.33902,1.66783,0.94433,0.98342,0.00108877,0.00108877,0.00108877
4,1296.28,1.60538,0.89671,1.00167,0.84468,0.59642,0.6193,0.31104,1.64937,0.9263,0.97986,0.001078,0.001078,0.001078
5,1595.3,1.56457,0.85007,0.9909,0.84347,0.60896,0.62999,0.3337,1.66447,0.87053,0.98702,0.001067,0.001067,0.001067
6,1883.35,1.54457,0.81915,0.98705,0.87865,0.59452,0.62783,0.33273,1.68841,0.85225,1.00121,0.00105601,0.00105601,0.00105601
7,2194.95,1.53046,0.80508,0.98401,0.80765,0.59823,0.61013,0.32875,1.65861,0.9013,0.98229,0.00104501,0.00104501,0.00104501
8,2525.82,1.50999,0.78686,0.97789,0.83225,0.6067,0.62804,0.33385,1.65043,0.85471,0.98687,0.00103401,0.00103401,0.00103401
9,2834.32,1.48826,0.76789,0.97035,0.83923,0.60226,0.62276,0.33769,1.63999,0.81306,0.9914,0.00102301,0.00102301,0.00102301
10,3118.17,1.4747,0.7548,0.96748,0.85522,0.62921,0.64008,0.34905,1.63272,0.78428,0.98244,0.00101201,0.00101201,0.00101201
11,3422.42,1.48026,0.7619,0.97128,0.85945,0.63665,0.64659,0.35642,1.58983,0.78301,0.98061,0.00100101,0.00100101,0.00100101
12,3750.45,1.45982,0.74337,0.96586,0.86897,0.62002,0.63979,0.34795,1.58115,0.78736,0.97687,0.000990012,0.000990012,0.000990012
13,4053.88,1.44791,0.7294,0.96374,0.86175,0.62342,0.64519,0.34872,1.62847,0.784,0.99239,0.000979013,0.000979013,0.000979013
14,4344.1,1.44846,0.72714,0.96419,0.86704,0.62589,0.64725,0.35345,1.60639,0.76731,0.9844,0.000968014,0.000968014,0.000968014
15,4641.79,1.44341,0.73166,0.96406,0.86568,0.62534,0.64398,0.36258,1.59586,0.77151,0.98215,0.000957015,0.000957015,0.000957015
16,4935.94,1.42651,0.71658,0.95739,0.89038,0.63577,0.64838,0.35862,1.61379,0.75253,0.99015,0.000946016,0.000946016,0.000946016
17,5237.07,1.42211,0.71416,0.95818,0.86002,0.64185,0.64948,0.35586,1.61109,0.76724,0.98449,0.000935018,0.000935018,0.000935018
18,5532.83,1.4219,0.70809,0.95785,0.84277,0.62363,0.62263,0.3421,1.61362,0.81204,0.98853,0.000924019,0.000924019,0.000924019
19,5820.88,1.40564,0.7008,0.95201,0.87738,0.62144,0.64317,0.3554,1.59374,0.75103,0.98179,0.00091302,0.00091302,0.00091302
20,6109.87,1.39203,0.68966,0.94726,0.86531,0.63382,0.64413,0.36024,1.58418,0.7484,0.97389,0.000902021,0.000902021,0.000902021
21,6408.61,1.40191,0.69631,0.95208,0.8591,0.61829,0.62943,0.34759,1.60156,0.76702,0.9829,0.000891022,0.000891022,0.000891022
22,6718.9,1.40152,0.68154,0.95177,0.85855,0.62463,0.63552,0.35029,1.61459,0.76806,0.99041,0.000880023,0.000880023,0.000880023
23,7019.69,1.37751,0.67624,0.94418,0.85006,0.63665,0.63925,0.35609,1.59549,0.75589,0.98733,0.000869024,0.000869024,0.000869024
24,7325.25,1.3831,0.67658,0.947,0.87162,0.62714,0.64452,0.35627,1.62894,0.76361,0.99725,0.000858025,0.000858025,0.000858025
25,7636.64,1.37873,0.68096,0.94736,0.87307,0.63332,0.64836,0.3559,1.6156,0.75558,0.99325,0.000847026,0.000847026,0.000847026
26,7948.58,1.36554,0.66492,0.94586,0.86176,0.62977,0.63807,0.35696,1.58275,0.75022,0.97412,0.000836027,0.000836027,0.000836027
27,8250.07,1.35154,0.66069,0.94198,0.8641,0.62255,0.63843,0.3523,1.58434,0.77692,0.97939,0.000825029,0.000825029,0.000825029
28,8543.47,1.36385,0.65893,0.93936,0.87299,0.63213,0.63881,0.35575,1.59675,0.74168,0.98041,0.00081403,0.00081403,0.00081403
29,8836.05,1.35483,0.65814,0.94225,0.86006,0.62836,0.63335,0.35059,1.57934,0.76106,0.97751,0.000803031,0.000803031,0.000803031
30,9123.12,1.34537,0.65734,0.94108,0.85258,0.63021,0.63073,0.35315,1.59744,0.77995,0.98379,0.000792032,0.000792032,0.000792032
31,9411.4,1.34027,0.64656,0.93893,0.86193,0.63836,0.6387,0.3587,1.59032,0.74241,0.9709,0.000781033,0.000781033,0.000781033
32,9698.23,1.33865,0.64273,0.93406,0.85323,0.61874,0.63354,0.35365,1.60167,0.75429,0.98018,0.000770034,0.000770034,0.000770034
33,9991.39,1.3299,0.63998,0.9337,0.88412,0.63321,0.642,0.36536,1.55976,0.72328,0.96592,0.000759035,0.000759035,0.000759035
34,10287.3,1.33018,0.63719,0.9336,0.87565,0.64677,0.64873,0.36024,1.56995,0.74163,0.9706,0.000748036,0.000748036,0.000748036
35,10588.3,1.33674,0.64526,0.93305,0.87849,0.6294,0.64293,0.36472,1.59183,0.73972,0.97777,0.000737037,0.000737037,0.000737037
36,10891.7,1.32086,0.63744,0.93663,0.86192,0.62726,0.63982,0.35979,1.62262,0.75977,0.98302,0.000726038,0.000726038,0.000726038
37,11197.3,1.30849,0.62718,0.92954,0.87481,0.63846,0.64502,0.3613,1.58912,0.74445,0.98022,0.00071504,0.00071504,0.00071504
38,11503.6,1.30821,0.62878,0.92816,0.85671,0.62349,0.63781,0.35934,1.60785,0.74702,0.98083,0.000704041,0.000704041,0.000704041
39,11816.1,1.30094,0.62517,0.92838,0.86502,0.62572,0.64155,0.35597,1.64171,0.75669,0.99181,0.000693042,0.000693042,0.000693042
40,12131.5,1.30083,0.62184,0.92639,0.86344,0.63022,0.64093,0.35785,1.59011,0.75574,0.98137,0.000682043,0.000682043,0.000682043
41,12445.1,1.29645,0.62042,0.92626,0.87439,0.62695,0.64521,0.36036,1.56645,0.73822,0.97245,0.000671044,0.000671044,0.000671044
42,12758.3,1.29685,0.62251,0.92941,0.87117,0.62625,0.6446,0.36064,1.5721,0.74414,0.97044,0.000660045,0.000660045,0.000660045
43,13074.1,1.28911,0.62199,0.92583,0.85943,0.63462,0.64635,0.36238,1.60142,0.74287,0.97956,0.000649046,0.000649046,0.000649046
44,13392.1,1.28487,0.61241,0.92442,0.86384,0.63195,0.64853,0.35975,1.60939,0.75493,0.97917,0.000638047,0.000638047,0.000638047
45,13714.7,1.28699,0.61388,0.9239,0.85619,0.62674,0.64403,0.36082,1.60018,0.75686,0.98175,0.000627048,0.000627048,0.000627048
46,14035.6,1.27129,0.60093,0.92229,0.86485,0.63294,0.64641,0.36541,1.59049,0.74078,0.98265,0.000616049,0.000616049,0.000616049
47,14348.4,1.27801,0.60722,0.92253,0.86338,0.62229,0.64122,0.36363,1.59175,0.73353,0.97675,0.000605051,0.000605051,0.000605051
48,14648.3,1.27408,0.60682,0.92377,0.8677,0.63522,0.64336,0.36207,1.61142,0.7455,0.98064,0.000594052,0.000594052,0.000594052
49,14946,1.256,0.59304,0.91657,0.87137,0.63576,0.64827,0.3656,1.57364,0.73865,0.97535,0.000583053,0.000583053,0.000583053
50,15241.7,1.25593,0.5931,0.9206,0.66574,0.62827,0.63628,0.35602,1.59786,0.74812,0.97915,0.000572054,0.000572054,0.000572054
51,15538.4,1.25442,0.59394,0.9182,0.85657,0.63218,0.63568,0.35744,1.61198,0.74136,0.98342,0.000561055,0.000561055,0.000561055
