epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.705,2.08472,2.05137,0.90601,0.64168,0.38596,0.37175,0.17715,2.07245,1.80902,0.87327,0.000369386,0.000369386,0.000369386
2,257.082,1.93214,1.17724,0.89185,0.73623,0.39457,0.40077,0.18589,2.04764,1.34819,0.86856,0.000732396,0.000732396,0.000732396
3,374.689,1.89094,0.9895,0.88486,0.72233,0.43866,0.44331,0.21032,2.06511,1.08198,0.85429,0.00108807,0.00108807,0.00108807
4,489.247,1.85106,0.90395,0.8761,0.65389,0.42914,0.39818,0.18517,2.01576,1.02224,0.85866,0.001078,0.001078,0.001078
5,607.166,1.81608,0.86857,0.8763,0.74812,0.46179,0.44627,0.21537,2.01355,0.98763,0.85369,0.001067,0.001067,0.001067
6,716.625,1.78539,0.84046,0.87129,0.76425,0.44528,0.45926,0.22275,1.97941,0.98441,0.8455,0.00105601,0.00105601,0.00105601
7,832.441,1.77364,0.82022,0.87007,0.59172,0.47323,0.47586,0.2349,1.8916,0.94167,0.83827,0.00104501,0.00104501,0.00104501
8,945.181,1.74849,0.79674,0.86225,0.77106,0.47466,0.46679,0.22523,1.96256,0.96819,0.85176,0.00103401,0.00103401,0.00103401
9,1058.85,1.72582,0.78014,0.86177,0.55721,0.45259,0.4562,0.23218,1.87068,0.9664,0.83886,0.00102301,0.00102301,0.00102301
10,1170.13,1.70961,0.77951,0.86202,0.57661,0.46061,0.482,0.24067,1.89373,0.93369,0.8399,0.00101201,0.00101201,0.00101201
11,1287.62,1.68622,0.75584,0.857,0.7939,0.48556,0.48452,0.2411,1.90376,0.91467,0.8445,0.00100101,0.00100101,0.00100101
12,1403.51,1.6756,0.74719,0.85347,0.75666,0.47292,0.47942,0.23291,1.95739,1.04145,0.85305,0.000990012,0.000990012,0.000990012
13,1527.28,1.66413,0.7497,0.8612,0.81385,0.47963,0.50223,0.2521,1.87408,0.86655,0.84887,0.000979013,0.000979013,0.000979013
14,1643.72,1.65053,0.7324,0.85178,0.79614,0.46439,0.50035,0.24695,1.87243,0.91716,0.83962,0.000968014,0.000968014,0.000968014
15,1760.69,1.64193,0.72606,0.84912,0.5747,0.48285,0.48595,0.24434,1.88459,0.92591,0.85736,0.000957015,0.000957015,0.000957015
