epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,161.693,2.1038,2.17978,0.89649,0.6638,0.36549,0.35529,0.16288,2.07807,1.93395,0.85981,0.00997788,0.00332596,0.00997788,0.00332596,0.00997788,0.00332596,0.00997788,0.00332596
2,307.846,2.0361,1.34137,0.88588,0.43023,0.35678,0.32953,0.15354,2.19568,1.8578,0.8911,0.0197801,0.00659337,0.0197801,0.00659337,0.0197801,0.00659337,0.0197801,0.00659337
3,437.904,2.05509,1.16458,0.89526,0.43834,0.3494,0.32384,0.1421,2.1401,1.59402,0.87804,0.0293843,0.00979477,0.0293843,0.00979477,0.0293843,0.00979477,0.0293843,0.00979477
4,561.509,2.00058,1.02435,0.89153,0.48999,0.38482,0.37746,0.1745,2.09454,1.2492,0.87455,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,740.239,1.94263,0.92791,0.88305,0.52611,0.39779,0.39406,0.19305,2.06612,1.1448,0.88023,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,940.969,1.86126,0.86805,0.87651,0.75705,0.43098,0.42083,0.21315,1.98626,1.02712,0.87437,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1110.58,1.81382,0.82579,0.8666,0.56689,0.43749,0.4289,0.22152,1.94604,1.00986,0.85299,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1276.6,1.79238,0.80681,0.86451,0.54465,0.44392,0.41219,0.20616,1.977,1.12343,0.86412,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1416.46,1.75736,0.78614,0.86106,0.68335,0.41435,0.3888,0.19667,2.02135,1.25301,0.8604,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1544.79,1.72616,0.76901,0.85648,0.5558,0.45276,0.44656,0.21803,1.98925,1.06224,0.87276,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1672.96,1.69971,0.74936,0.85438,0.57382,0.45907,0.46461,0.22611,1.92353,0.95486,0.85625,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1798.07,1.69209,0.74092,0.85178,0.55756,0.45695,0.4754,0.23602,1.98755,1.10024,0.87069,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1921.15,1.65661,0.72379,0.84865,0.81084,0.47368,0.48048,0.23757,1.90099,0.92857,0.84983,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
